	Rora cKO-Skin-MC-Treg-Replicate1	Rora cKO-Skin-MC-Treg-Replicate2	Rora cKO-Skin-MC-Treg-Replicate3	Rora cKO-Skin-Treg-Replicate1	Rora cKO-Skin-Treg-Replicate2	Rora cKO-Skin-Treg-Replicate3	WT-LN-Treg-Replicate1	WT-LN-Treg-Replicate2	WT-LN-Treg-Replicate3	WT-Skin-MC-Treg-Replicate1	WT-Skin-MC-Treg-Replicate2	WT-Skin-MC-Treg-Replicate3	WT-Skin-Treg-Replicate1	WT-Skin-Treg-Replicate2	WT-Skin-Treg-Replicate3
Klhl40	0	2	8	0	0	4	0	0	3	0	0	0	0	50	0
Klhl41	9	13	9	11	12	19	10	7	14	19	9	16	17	70	15
Klhl42	198	366	310	232	193	148	452	506	591	436	499	398	135	318	180
Klhl5	117	86	187	214	305	185	58	86	98	117	308	63	95	97	54
Klhl6	2882	2985	2113	839	1286	1079	8014	9836	7857	3545	3086	3690	1165	1004	1206
Klhl7	386	243	321	624	839	508	583	554	437	329	417	359	505	335	508
Klhl8	46	92	101	158	86	178	111	80	55	80	137	17	132	113	88
Klhl9	1147	1161	1158	1023	1081	1077	1141	1288	1300	1547	1207	1137	971	1104	777
Klk1	0	0	3	0	0	0	0	0	7	0	0	0	0	0	0
Klk10	2	0	21	4	0	1	3	1	2	33	6	77	0	0	0
Klk11	1	1	0	0	0	0	0	0	3	12	1	24	0	0	0
Klk12	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
Klk13	0	0	7	0	0	0	0	0	0	0	0	4	0	0	0
Klk14	1	1	2	0	1	4	1	0	1	1	0	0	1	1	1
Klk15	0	0	0	0	0	0	4	6	14	0	0	0	1	0	0
Klk1b1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Klk1b11	8	0	0	0	4	0	0	3	0	3	5	3	8	1	5
Klk1b16	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Klk1b21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klk1b22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klk1b24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klk1b26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klk1b27	0	3	2	8	7	6	30	53	34	0	5	3	0	11	5
Klk1b3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klk1b4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klk1b5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klk1b7-ps	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Klk1b8	0	0	0	0	0	0	1	9	1	0	0	0	0	0	0
Klk1b9	10	0	2	28	28	17	9	1	13	0	1	0	15	0	11
Klk4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klk5	0	0	0	0	0	0	0	0	0	8	0	8	0	0	0
Klk6	0	0	13	0	0	0	0	0	0	13	0	2	9	0	0
