"","well","treatment","libraryid","plate","libraryname","mouse","total_reads","gene_count","filename1","filename2"
"189","D9","5",141,2,"samp_141",2,253313.429639465,253313,"s141_S141_L001_R1_001.fastq.gz","s141_S141_L002_R1_001.fastq.gz"
"150","D10","mIL6",142,2,"samp_142",2,241684.168308252,241684,"s142_S142_L001_R1_001.fastq.gz","s142_S142_L002_R1_001.fastq.gz"
"196","E1","wt",145,2,"samp_145",2,225439.232873747,225439,"s145_S145_L001_R1_001.fastq.gz","s145_S145_L002_R1_001.fastq.gz"
"209","E2","wt",146,2,"samp_146",2,229257.868364617,229257,"s146_S146_L001_R1_001.fastq.gz","s146_S146_L002_R1_001.fastq.gz"
"214","E3","wt",147,2,"samp_147",2,274019.479222695,274019,"s147_S147_L001_R1_001.fastq.gz","s147_S147_L002_R1_001.fastq.gz"
"219","E4","IFNg",148,2,"samp_148",2,221519.462303271,221519,"s148_S148_L001_R1_001.fastq.gz","s148_S148_L002_R1_001.fastq.gz"
"222","E5","IL15",149,2,"samp_149",2,242949.783716747,242949,"s149_S149_L001_R1_001.fastq.gz","s149_S149_L002_R1_001.fastq.gz"
"228","E6","17",150,2,"samp_150",2,317436.915033387,317436,"s150_S150_L001_R1_001.fastq.gz","s150_S150_L002_R1_001.fastq.gz"
"230","E7","20",151,2,"samp_151",2,259380.085745107,259380,"s151_S151_L001_R1_001.fastq.gz","s151_S151_L002_R1_001.fastq.gz"
"234","E8","IL9",152,2,"samp_152",2,197572.15400668,197572,"s152_S152_L001_R1_001.fastq.gz","s152_S152_L002_R1_001.fastq.gz"
"237","E9","IL1a",153,2,"samp_153",2,293212.55155874,293212,"s153_S153_L001_R1_001.fastq.gz","s153_S153_L002_R1_001.fastq.gz"
"199","E10","rmIL1b",154,2,"samp_154",2,269279.25341603,269279,"s154_S154_L001_R1_001.fastq.gz","s154_S154_L002_R1_001.fastq.gz"
"243","F1","wt",157,2,"samp_157",2,246163.230161105,246163,"s157_S157_L001_R1_001.fastq.gz","s157_S157_L002_R1_001.fastq.gz"
"257","F2","wt",158,2,"samp_158",2,158161.271589471,158161,"s158_S158_L001_R1_001.fastq.gz","s158_S158_L002_R1_001.fastq.gz"
"263","F3","wt",159,2,"samp_159",2,334119.974031735,334119,"s159_S159_L001_R1_001.fastq.gz","s159_S159_L002_R1_001.fastq.gz"
"267","F4","wt",160,2,"samp_160",2,222853.431768242,222853,"s160_S160_L001_R1_001.fastq.gz","s160_S160_L002_R1_001.fastq.gz"
"275","F6","27",162,2,"samp_162",2,238827.340526998,238827,"s162_S162_L001_R1_001.fastq.gz","s162_S162_L002_R1_001.fastq.gz"
"277","F7","25",163,2,"samp_163",2,234826.420513226,234826,"s163_S163_L001_R1_001.fastq.gz","s163_S163_L002_R1_001.fastq.gz"
"281","F8","rmIL2b",164,2,"samp_164",2,335208.788966749,335208,"s164_S164_L001_R1_001.fastq.gz","s164_S164_L002_R1_001.fastq.gz"
"285","F9","21",165,2,"samp_165",2,287782.692310096,287782,"s165_S165_L001_R1_001.fastq.gz","s165_S165_L002_R1_001.fastq.gz"
"245","F10","22",166,2,"samp_166",2,234928.990266859,234928,"s166_S166_L001_R1_001.fastq.gz","s166_S166_L002_R1_001.fastq.gz"
"306","G2","wt",170,2,"samp_170",2,246714.659045798,246714,"s170_S170_L001_R1_001.fastq.gz","s170_S170_L002_R1_001.fastq.gz"
"311","G3","wt",171,2,"samp_171",2,201745.390386796,201745,"s171_S171_L001_R1_001.fastq.gz","s171_S171_L002_R1_001.fastq.gz"
"315","G4","wt",172,2,"samp_172",2,216669.451990807,216669,"s172_S172_L001_R1_001.fastq.gz","s172_S172_L002_R1_001.fastq.gz"
"318","G5","danazol",173,2,"samp_173",2,292601.033063785,292601,"s173_S173_L001_R1_001.fastq.gz","s173_S173_L002_R1_001.fastq.gz"
"321","G6","TSLP",174,2,"samp_174",2,204262.589934793,204262,"s174_S174_L001_R1_001.fastq.gz","s174_S174_L002_R1_001.fastq.gz"
"329","G8","rmTGFb",176,2,"samp_176",2,165790.006095868,165790,"s176_S176_L001_R1_001.fastq.gz","s176_S176_L002_R1_001.fastq.gz"
"294","G10","our_IL2",178,2,"samp_178",2,204851.635368002,204851,"s178_S178_L001_R1_001.fastq.gz","s178_S178_L002_R1_001.fastq.gz"
"51","B1","mCcl7",301,4,"samp_301",4,241814.920691039,241814,"s301_S301_L001_R1_001.fastq.gz","s301_S301_L002_R1_001.fastq.gz"
"65","B2","mcxcl20",302,4,"samp_302",4,256850.935795941,256850,"s302_S302_L001_R1_001.fastq.gz","s302_S302_L002_R1_001.fastq.gz"
"69","B3","ifnb",303,4,"samp_303",4,231791.602986774,231791,"s303_S303_L001_R1_001.fastq.gz","s303_S303_L002_R1_001.fastq.gz"
"76","B4","mcxcl10",304,4,"samp_304",4,212515.972227408,212515,"s304_S304_L001_R1_001.fastq.gz","s304_S304_L002_R1_001.fastq.gz"
"79","B5","mil5",305,4,"samp_305",4,200197.251757321,200197,"s305_S305_L001_R1_001.fastq.gz","s305_S305_L002_R1_001.fastq.gz"
"83","B6","mcxcl16",306,4,"samp_306",4,212955.283273794,212955,"s306_S306_L001_R1_001.fastq.gz","s306_S306_L002_R1_001.fastq.gz"
"86","B7","hil24",307,4,"samp_307",4,231748.309268969,231748,"s307_S307_L001_R1_001.fastq.gz","s307_S307_L002_R1_001.fastq.gz"
"89","B8","_il4",308,4,"samp_308",4,315449.939408092,315449,"s308_S308_L001_R1_001.fastq.gz","s308_S308_L002_R1_001.fastq.gz"
"96","B9","sdf1a",309,4,"samp_309",4,314915.252475132,314915,"s309_S309_L001_R1_001.fastq.gz","s309_S309_L002_R1_001.fastq.gz"
"55","B10","il13",310,4,"samp_310",4,273304.820608899,273304,"s310_S310_L001_R1_001.fastq.gz","s310_S310_L002_R1_001.fastq.gz"
"98","C1","mccl2",313,4,"samp_313",4,189779.485957232,189779,"s313_S313_L001_R1_001.fastq.gz","s313_S313_L002_R1_001.fastq.gz"
"114","C2","mtnfsf18",314,4,"samp_314",4,209740.356091596,209740,"s314_S314_L001_R1_001.fastq.gz","s314_S314_L002_R1_001.fastq.gz"
"118","C3","mccl22",315,4,"samp_315",4,198106.731093234,198106,"s315_S315_L001_R1_001.fastq.gz","s315_S315_L002_R1_001.fastq.gz"
"122","C4","mcxcl9",316,4,"samp_316",4,347003.15338342,347003,"s316_S316_L001_R1_001.fastq.gz","s316_S316_L002_R1_001.fastq.gz"
"131","C6","mil18",318,4,"samp_318",4,291537.754002369,291537,"s318_S318_L001_R1_001.fastq.gz","s318_S318_L002_R1_001.fastq.gz"
"136","C7","mccl2",319,4,"samp_319",4,222676.396572778,222676,"s319_S319_L001_R1_001.fastq.gz","s319_S319_L002_R1_001.fastq.gz"
"137","C8","ifna",320,4,"samp_320",4,208665.909404008,208665,"s320_S320_L001_R1_001.fastq.gz","s320_S320_L002_R1_001.fastq.gz"
"143","C9","mil21",321,4,"samp_321",4,150156.945894654,150156,"s321_S321_L001_R1_001.fastq.gz","s321_S321_L002_R1_001.fastq.gz"
"103","C10","mil33",322,4,"samp_322",4,237183.833410914,237183,"s322_S322_L001_R1_001.fastq.gz","s322_S322_L002_R1_001.fastq.gz"
"164","D2","wt",326,4,"samp_326",4,231186.777276734,231186,"s326_S326_L001_R1_001.fastq.gz","s326_S326_L002_R1_001.fastq.gz"
"165","D3","wt",327,4,"samp_327",4,214111.187834351,214111,"s327_S327_L001_R1_001.fastq.gz","s327_S327_L002_R1_001.fastq.gz"
"171","D4","wt",328,4,"samp_328",4,252301.285380722,252301,"s328_S328_L001_R1_001.fastq.gz","s328_S328_L002_R1_001.fastq.gz"
"173","D5","wt",329,4,"samp_329",4,216972.285444338,216972,"s329_S329_L001_R1_001.fastq.gz","s329_S329_L002_R1_001.fastq.gz"
"177","D6","mIL10",330,4,"samp_330",4,176487.415002039,176487,"s330_S330_L001_R1_001.fastq.gz","s330_S330_L002_R1_001.fastq.gz"
"183","D7","2",331,4,"samp_331",4,235788.061825247,235788,"s331_S331_L001_R1_001.fastq.gz","s331_S331_L002_R1_001.fastq.gz"
"185","D8","our_il4",332,4,"samp_332",4,274894.227366194,274894,"s332_S332_L001_R1_001.fastq.gz","s332_S332_L002_R1_001.fastq.gz"
"191","D9","5",333,4,"samp_333",4,265064.924552019,265064,"s333_S333_L001_R1_001.fastq.gz","s333_S333_L002_R1_001.fastq.gz"
"149","D10","mIL6",334,4,"samp_334",4,219461.216666337,219461,"s334_S334_L001_R1_001.fastq.gz","s334_S334_L002_R1_001.fastq.gz"
"193","E1","wt",337,4,"samp_337",4,292545.902130906,292545,"s337_S337_L001_R1_001.fastq.gz","s337_S337_L002_R1_001.fastq.gz"
"210","E2","wt",338,4,"samp_338",4,322511.302196205,322511,"s338_S338_L001_R1_001.fastq.gz","s338_S338_L002_R1_001.fastq.gz"
"213","E3","wt",339,4,"samp_339",4,235470.871949791,235470,"s339_S339_L001_R1_001.fastq.gz","s339_S339_L002_R1_001.fastq.gz"
"217","E4","IFNg",340,4,"samp_340",4,282723.895936045,282723,"s340_S340_L001_R1_001.fastq.gz","s340_S340_L002_R1_001.fastq.gz"
"221","E5","IL15",341,4,"samp_341",4,236031.522530365,236031,"s341_S341_L001_R1_001.fastq.gz","s341_S341_L002_R1_001.fastq.gz"
"225","E6","17",342,4,"samp_342",4,235329.023605034,235329,"s342_S342_L001_R1_001.fastq.gz","s342_S342_L002_R1_001.fastq.gz"
"231","E7","20",343,4,"samp_343",4,204009.463990543,204009,"s343_S343_L001_R1_001.fastq.gz","s343_S343_L002_R1_001.fastq.gz"
"235","E8","IL9",344,4,"samp_344",4,323663.247811916,323663,"s344_S344_L001_R1_001.fastq.gz","s344_S344_L002_R1_001.fastq.gz"
"198","E10","rmIL1b",346,4,"samp_346",4,177238.514888131,177238,"s346_S346_L001_R1_001.fastq.gz","s346_S346_L002_R1_001.fastq.gz"
"241","F1","wt",349,4,"samp_349",4,300194.328570666,300194,"s349_S349_L001_R1_001.fastq.gz","s349_S349_L002_R1_001.fastq.gz"
"259","F2","wt",350,4,"samp_350",4,290612.568188912,290612,"s350_S350_L001_R1_001.fastq.gz","s350_S350_L002_R1_001.fastq.gz"
"261","F3","wt",351,4,"samp_351",4,219393.6737652,219393,"s351_S351_L001_R1_001.fastq.gz","s351_S351_L002_R1_001.fastq.gz"
"265","F4","wt",352,4,"samp_352",4,307320.363135989,307320,"s352_S352_L001_R1_001.fastq.gz","s352_S352_L002_R1_001.fastq.gz"
"270","F5","IL6",353,4,"samp_353",4,190875.794019793,190875,"s353_S353_L001_R1_001.fastq.gz","s353_S353_L002_R1_001.fastq.gz"
"274","F6","27",354,4,"samp_354",4,328992.495674045,328992,"s354_S354_L001_R1_001.fastq.gz","s354_S354_L002_R1_001.fastq.gz"
"279","F7","25",355,4,"samp_355",4,279677.164841117,279677,"s355_S355_L001_R1_001.fastq.gz","s355_S355_L002_R1_001.fastq.gz"
